"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","Green","sample_sizeG","black","sample_sizeB","lineage"
"SO",0,0,22,4,26,0,0.846153846153846,0.153846153846154,0,2,44.479469,8.490197,2.26666666666667,15,0.376,15,"SA"
"SR",8,3,9,5,25,0.32,0.36,0.2,0.12,3,43.818329,7.772901,1.6875,16,0.135,16,"SA"
"SS",0,0,33,0,33,0,1,0,0,1,44.288253,10.193174,6.36842105263158,19,0.355263157894737,19,"Hybrid"
"SST",0,0,23,0,23,0,1,0,0,1,42.4250405,11.105032,4.375,16,0.358425,16,"IT"
"ST",0,0,37,0,37,0,1,0,0,1,44.082345,9.90457,8.73684210526316,19,0.498181818181818,19,"Hybrid"
"STM",0,0,25,0,25,0,1,0,0,1,44.3591,9.35241111111111,7.125,16,0.256997748734176,16,"SA"
"STO",1,0,25,1,27,0.037037037037037,0.925925925925926,0.037037037037037,0,3,44.4337203,9.4914911,4.61538461538461,13,0.32846370252966,13,"SA"
"SU",0,0,24,1,25,0,0.96,0.04,0,2,41.9236731,13.0972695,5.46153846153846,13,0.311187580159275,13,"IT"
"SX",0,0,43,1,44,0,0.977272727272727,0.0227272727272727,0,2,43.726667,11.53816,4.90476190476191,21,0.451921168433337,21,"IT"
"SZ",0,0,34,0,34,0,1,0,0,1,43.9941,10.2301,5.88888888888889,18,0.319940094532638,18,"Hybrid"
"TE",0,0,26,0,26,0,1,0,0,1,44.464914,9.367309,4.38461538461539,13,0.258461538461538,13,"SA"
"TI",0,0,25,0,25,0,1,0,0,1,42.8437985,10.8916354,6.6,15,0.40682,15,"IT"
"TM",0,0,26,1,27,0,0.962962962962963,0.037037037037037,0,2,43.979745,10.544721,6.70588235294118,17,0.468823529411765,17,"Hybrid"
"TO",0,1,27,1,29,0,0.931034482758621,0.0344827586206897,0.0344827586206897,2,44.518896,9.157089,3.8,10,0.307,10,"SA"
"TP",1,0,23,0,24,0.0416666666666667,0.958333333333333,0,0,2,44.310652,9.73185,6.14285714285714,14,0.36,14,"SA"
"TR",0,0,22,0,22,0,1,0,0,1,43.16743,11.00843,6.69230769230769,13,0.391538461538462,13,"IT"
"TZ",4,0,20,2,26,0.153846153846154,0.769230769230769,0.0769230769230769,0,3,42.8278275,12.9382253,1.66666666666667,15,0.274766666666667,15,"IT"
"UR",0,0,24,1,25,0,0.96,0.04,0,2,43.723635,12.635868,6.30769230769231,13,0.353138461538462,13,"IT"
"US",0,1,38,0,39,0,0.974358974358974,0,0.0256410256410256,1,44.415181,9.156339,6.55555555555556,27,0.368888888888889,27,"SA"
"VA",0,0,34,4,38,0,0.894736842105263,0.105263157894737,0,2,44.359157,8.577422,4.90909090909091,22,0.26,22,"SA"
"VE",0,0,38,0,38,0,1,0,0,1,43.42148,11.11181,7.30434782608696,23,0.4525,23,"IT"
"VF",0,0,25,0,25,0,1,0,0,1,44.02834,10.27075,4.22222222222222,18,0.350288110974377,18,"Hybrid"
"VG",0,0,15,0,15,0,1,0,0,1,44.47634,11.01046,4.75,8,0.2963875,8,"Hybrid"
"VI",1,0,51,0,52,0.0192307692307692,0.980769230769231,0,0,2,43.84268,10.26326,8.58064516129032,31,0.576,31,"Hybrid"
"VS",0,0,26,0,26,0,1,0,0,1,44.118387,10.266344,4,13,0.333076923076923,13,"Hybrid"
"VZ",2,0,32,2,36,0.0555555555555556,0.888888888888889,0.0555555555555556,0,3,44.582081,9.942098,4.51851851851852,27,0.316666666666667,27,"SA"
"ZE",0,0,29,0,29,0,1,0,0,1,44.352749,9.763889,6.16666666666667,12,0.355,12,"SA"
