"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","lineage","Source","Green","sample_sizeG","black","sample_sizeB","fixed_brown","Notes"
"R13",11,4,30,20,65,0.169230769230769,0.461538461538462,0.307692307692308,0.0615384615384615,3,45.2066919407531,9.14572512628143,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R14",288,200,499,446,1433,0.200976971388695,0.348220516399163,0.311235170969993,0.139567341242149,3,45.2449572982267,9.22381857073475,"SA","Sacchi_etal",NA,NA,NA,NA,"Y","extreme sample size and very high orange_yellow - check"
"R17",28,7,67,40,142,0.197183098591549,0.471830985915493,0.28169014084507,0.0492957746478873,3,45.2577044353423,9.02289029750852,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R18",49,11,119,115,294,0.166666666666667,0.404761904761905,0.391156462585034,0.0374149659863946,3,45.2568133436154,9.21863970986684,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R19",10,19,20,52,101,0.099009900990099,0.198019801980198,0.514851485148515,0.188118811881188,3,45.1572215805817,9.35133833414313,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R2",3,1,9,8,21,0.142857142857143,0.428571428571429,0.380952380952381,0.0476190476190476,3,45.6227668186908,9.0941674992865,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R20",0,0,26,0,26,0,1,0,0,1,43.81081008824,10.5193057642726,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R21",10,1,14,10,35,0.285714285714286,0.4,0.285714285714286,0.0285714285714286,3,45.7289924923605,8.85960578634413,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R22",0,0,10,0,10,0,1,0,0,1,43.77936748115,10.7655886612253,"IT","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R23",300,65,750,220,1335,0.224719101123595,0.561797752808989,0.164794007490637,0.048689138576779,3,45.6300327673063,9.15087220895935,"SA","Sacchi_etal",NA,NA,NA,NA,"Y","extreme sample size - check"
"R24",5,1,5,0,11,0.454545454545455,0.454545454545455,0,0.0909090909090909,2,46.0838031392066,11.9811657311437,NA,"Sacchi_etal",NA,NA,NA,NA,"Y","unclear lineage"
"R25",0,0,11,0,11,0,1,0,0,1,44.3250812078182,9.30108457462685,"SA","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R26",3,3,10,3,19,0.157894736842105,0.526315789473684,0.157894736842105,0.157894736842105,3,45.2434817774869,9.02405684687952,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R27",4,1,7,1,13,0.307692307692308,0.538461538461538,0.0769230769230769,0.0769230769230769,3,45.247246409913,9.06509030224449,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R28",5,2,15,3,25,0.2,0.6,0.12,0.08,3,45.2227758836773,9.19523807073702,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R29",0,0,20,2,22,0,0.909090909090909,0.0909090909090909,0,2,44.8933279667689,11.8306429912033,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R3",0,0,11,0,11,0,1,0,0,1,44.6151012450063,11.8326353293831,NA,"Sacchi_etal",NA,NA,NA,NA,"N","unclear lineage"
"R30",9,0,7,5,21,0.428571428571429,0.333333333333333,0.238095238095238,0,3,45.1531131054374,10.714876975819,"SA","Sacchi_etal",NA,NA,NA,NA,"N",NA
"R4",1,1,5,3,10,0.1,0.5,0.3,0.1,3,44.9246982051655,8.18680638906887,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
"R43",8,8,2,15,33,0.242424242424242,0.0606060606060606,0.454545454545455,0.242424242424242,3,45.5377560312135,9.1426584949636,"SA","Sacchi_etal",NA,NA,NA,NA,"Y",NA
